iter	MultiClass
454	0.2864205035
455	0.2856162158
456	0.2850372538
457	0.2845688421
458	0.2840522228
459	0.2834610952
460	0.2830472352
461	0.2824093712
462	0.2817169216
463	0.2812775031
464	0.2804555315
465	0.2796996841
466	0.2789928506
467	0.2788238866
468	0.2782997794
469	0.2775693924
470	0.2765571589
471	0.2759617766
472	0.275329646
473	0.2745973109
474	0.2738638019
475	0.2730603483
476	0.2723244418
477	0.2714369411
478	0.2711106155
479	0.2704301949
480	0.2695852675
481	0.2687526639
482	0.2683826945
483	0.2679894142
484	0.2670688618
485	0.2663616953
486	0.2659644488
487	0.265685171
488	0.2652841008
489	0.2644908042
490	0.2641617045
491	0.263740635
492	0.2630064808
493	0.2623881386
494	0.2620163749
495	0.2615371114
496	0.2611048964
497	0.2605806672
498	0.2600321191
499	0.2593747724
500	0.2586064516
501	0.2582861528
502	0.2577384028
503	0.2574375441
504	0.2569738065
505	0.2567337322
506	0.2563215096
507	0.2560918717
508	0.2554082643
509	0.2548676408
510	0.2544785091
511	0.2539140061
512	0.2532320765
513	0.2526131036
514	0.2518178948
515	0.2511344233
516	0.2503380201
517	0.2499261999
518	0.2494147971
519	0.2490673104
520	0.2485979081
521	0.2481412453
522	0.2479067736
523	0.2471959391
524	0.2470439601
525	0.2464227916
526	0.2456899048
527	0.2451873786
528	0.2446545042
529	0.2443098954
530	0.24413055
531	0.2439250107
532	0.2434641801
533	0.2431830837
534	0.2426734756
535	0.242525479
536	0.2419968199
537	0.2413127374
538	0.2408459035
539	0.2402696362
540	0.239839782
541	0.2395130583
542	0.2391143174
543	0.238554503
544	0.2379669732
545	0.2374003044
546	0.2372131989
547	0.2368543899
548	0.2365703794
549	0.2360558199
550	0.2354524695
551	0.2352131862
552	0.2350530541
553	0.2347030568
554	0.2341968737
555	0.2336711675
556	0.2332079237
557	0.232697998
558	0.2322390064
559	0.2317118078
560	0.2309697862
561	0.2306640805
562	0.2303903181
563	0.2302122117
564	0.2294646385
565	0.2288986743
566	0.2284259739
567	0.2279056173
568	0.2274931812
569	0.2269013691
570	0.2263792209
571	0.2257734898
572	0.2252665188
573	0.2251929713
574	0.2249502832
575	0.2243108469
576	0.2240150149
577	0.2236984382
578	0.2231448532
579	0.2228012713
580	0.2225084369
581	0.2222000423
582	0.2218577685
583	0.2214114724
584	0.2208656246
585	0.2205404693
586	0.2199201658
587	0.2194142048
588	0.2188654859
589	0.2187041277
590	0.2184264727
591	0.2180393505
592	0.2177528771
593	0.2173464115
594	0.2170121853
595	0.2167977859
596	0.2162963545
597	0.2158683631
598	0.215586979
599	0.2149882159
600	0.2147352014
601	0.2140047338
602	0.2137419434
603	0.2131037153
604	0.2129317847
605	0.212660699
606	0.2125450049
607	0.2120417629
608	0.211562803
609	0.211467338
610	0.210965768
611	0.2106119223
612	0.210416242
613	0.209953693
614	0.2096755679
615	0.2094291584
616	0.208962517
617	0.2086451764
618	0.2082958261
619	0.2075933591
620	0.2073118426
621	0.2068855567
622	0.2065357655
623	0.2060697864
624	0.2056043085
625	0.2051711134
626	0.2046506867
627	0.2042850463
628	0.203719939
629	0.2035488937
630	0.2029442151
631	0.2027219698
632	0.2023275056
633	0.202022636
634	0.2017517683
635	0.2015826411
636	0.2012560898
637	0.2008903116
638	0.2006083139
639	0.2005173833
640	0.2002248072
641	0.19999368
642	0.1997119845
643	0.1990911939
644	0.1986659419
645	0.198351412
646	0.1977792712
647	0.1973708061
648	0.1969253472
649	0.1965494911
650	0.1962326612
651	0.1958400907
652	0.195312997
653	0.1951379773
654	0.1946526132
655	0.194301235
656	0.1939170864
657	0.193332771
658	0.1927994419
659	0.1925150068
660	0.1919044432
661	0.1914439618
662	0.1911191025
663	0.1908055575
664	0.1904496917
665	0.1900975993
666	0.1895953633
667	0.1889739059
668	0.1886565236
669	0.1883338204
670	0.1878435061
671	0.1877001511
672	0.1872593822
673	0.1870916571
674	0.1868027673
675	0.1865723718
676	0.1861477554
677	0.1857690748
678	0.185426872
679	0.1850532404
680	0.1847518898
681	0.1843865232
682	0.1840822353
683	0.1837777266
684	0.1831722751
685	0.1828992059
686	0.1824957433
687	0.1823954959
688	0.182249006
689	0.1820494379
690	0.1817018511
691	0.181393831
692	0.1810595415
693	0.1807976979
694	0.180331461
695	0.1801400076
696	0.1798575911
697	0.1794946674
698	0.1791878751
699	0.1787589472
700	0.1783510684
701	0.1780631502
702	0.1778046131
703	0.1775648727
704	0.1772017665
705	0.1770133141
706	0.1766065392
707	0.1762963696
708	0.1760093158
709	0.1756913008
710	0.1751432091
711	0.1748634639
712	0.1745024762
713	0.1740331578
714	0.1736354974
715	0.1733481297
716	0.1729407075
717	0.1726689103
718	0.1725504199
719	0.1723091512
720	0.171994903
721	0.1717657914
722	0.1715906298
723	0.1710299105
724	0.1707573515
725	0.170445166
726	0.170002773
727	0.169622928
728	0.1693984701
729	0.1690951791
730	0.1688379138
731	0.1686734828
732	0.1682052923
733	0.1679420496
734	0.1678168683
735	0.1675784373
736	0.1672107139
737	0.1668138873
738	0.1663878654
739	0.1660209163
740	0.1657220701
741	0.1654100048
742	0.1652352506
743	0.1649672207
744	0.1646231791
745	0.1643520464
746	0.1640517825
747	0.1638737661
748	0.1636275624
749	0.1634859688
750	0.1632475482
751	0.1629517099
752	0.162719127
753	0.1624790956
754	0.1622361741
755	0.1620156337
756	0.1616207412
757	0.1613885664
758	0.1611048011
759	0.1608936513
760	0.160437475
761	0.1600825656
762	0.1597498084
763	0.1595482082
764	0.1593589669
765	0.1591392803
766	0.1588422215
767	0.158592546
768	0.1584164342
769	0.1580155256
770	0.157735422
771	0.1576060787
772	0.1573099309
773	0.1570398907
774	0.1570056188
775	0.1568092904
776	0.1565634207
777	0.1563592562
778	0.1560407402
779	0.1558381557
780	0.1555253804
781	0.155205155
782	0.1551549105
783	0.1548318901
784	0.1544854539
785	0.1541975137
786	0.1539426169
787	0.1536351224
788	0.1532890586
789	0.1530132805
790	0.1527134799
791	0.1524102778
792	0.1521505191
793	0.1518688504
794	0.1514739483
795	0.1512477957
796	0.1511042477
797	0.150952929
798	0.1504948895
799	0.1503421457
800	0.1500766596
801	0.1499739052
802	0.1499171842
803	0.149674148
804	0.1492754299
805	0.1489238037
806	0.1487241339
807	0.1485479293
808	0.1481945645
809	0.1480159677
810	0.1477651866
811	0.1475170667
812	0.1473604171
813	0.147253991
814	0.1468653356
815	0.1465435781
816	0.1463243837
817	0.1461241879
818	0.1458628393
819	0.1455923884
820	0.1453807689
821	0.1451615939
822	0.1449797713
823	0.1447576434
824	0.1444094635
825	0.1443015333
826	0.144100208
827	0.1437484747
828	0.1435934887
829	0.1433090473
830	0.1431696821
831	0.143033744
832	0.1427699189
833	0.1425807321
834	0.1424753077
835	0.1422799415
836	0.1421538474
837	0.1419476749
838	0.1418056886
839	0.1416103969
840	0.1414128368
841	0.1411888569
842	0.1409607344
843	0.140797251
844	0.1406256197
845	0.1403092781
846	0.1402106861
847	0.1400461936
848	0.139639693
849	0.1393086794
850	0.1391013968
851	0.1390309252
852	0.1388183457
853	0.138645452
854	0.1385536058
855	0.1383520147
856	0.1381470536
857	0.1379171187
858	0.1377379921
859	0.1375518213
860	0.1372966342
861	0.137023646
862	0.1367911302
863	0.1364984076
864	0.1363165838
865	0.1361989674
866	0.1358296983
867	0.1356639318
868	0.1354824957
869	0.1353913382
870	0.1350493333
871	0.1348857056
872	0.1346998693
873	0.1345479119
874	0.1343834853
875	0.1341849772
876	0.1339841923
877	0.1336847182
878	0.133468419
879	0.1332537527
880	0.1331777964
881	0.1330126116
882	0.1327545791
883	0.1325579697
884	0.1323654748
885	0.1321672171
886	0.13183552
887	0.1317433596
888	0.131585835
889	0.1313316583
890	0.1311866331
891	0.1309625738
892	0.1306194062
893	0.1303860005
894	0.1301049909
895	0.1299514953
896	0.1297757398
897	0.129582912
898	0.1295520121
899	0.1294535337
900	0.1292311609
901	0.1290329979
902	0.1287796716
903	0.1287312497
904	0.1284476951
905	0.1281582533
906	0.127875458
907	0.1277145425
908	0.1275601023
909	0.1274088304
910	0.1271528855
911	0.1268543301
912	0.1266401097
913	0.1265172271
914	0.1263834724
915	0.1262316155
916	0.1261446651
917	0.1258471509
918	0.125679717
919	0.1254847856
920	0.1253308576
921	0.1251545219
922	0.1249345641
923	0.124800195
924	0.1245598674
925	0.1243419006
926	0.1242584717
927	0.1240609215
928	0.1238718335
929	0.1236822845
930	0.1235331678
931	0.1233950136
932	0.1232690869
933	0.1231358775
934	0.122948471
935	0.1227288035
936	0.1225782895
937	0.1224145705
938	0.1222590744
939	0.1220558799
940	0.1218587834
941	0.121761563
942	0.1215949798
943	0.121414765
944	0.1213011281
945	0.1212073213
946	0.121084183
947	0.1209164629
948	0.1207148692
949	0.1206530801
950	0.1204698097
951	0.1204153999
952	0.1201267541
953	0.1198828921
954	0.1197258218
955	0.1195708344
956	0.1193403299
957	0.1192234386
958	0.1189748603
959	0.1188245084
960	0.1186216356
961	0.1185144525
962	0.1183162712
963	0.1181975034
964	0.117969067
965	0.1178004533
966	0.1176643968
967	0.117526737
968	0.1174155146
969	0.1171814152
970	0.1169221697
971	0.1166654913
972	0.1164931973
973	0.1162835883
974	0.1161604743
975	0.1160665262
976	0.1158752424
977	0.1157095235
978	0.1155484835
979	0.1154543509
980	0.1151902131
981	0.1150405047
982	0.1149122924
983	0.1146225744
984	0.1144935055
985	0.1144029798
986	0.1142351165
987	0.1139782477
988	0.1137535466
989	0.1136356544
990	0.1134762044
991	0.1132717712
992	0.1132113732
993	0.1131038791
994	0.1128945986
995	0.1127291999
996	0.112621656
997	0.1125370687
998	0.112325107
999	0.1121452003
